IP,TimeStamp,URL,Status
10.131.0.1,2017-12-17 18:42:09,GET /contestproblem.php?name=ROJ%20Testing%20Contest%201 HTTP/1.1,403
10.131.0.1,2017-11-19 22:30:23,POST /allsubmission.php HTTP/1.1,403
10.130.2.1,2017-12-01 14:21:50,GET /img/ruet.png HTTP/1.1,200
10.130.2.1,2018-01-29 20:18:00,GET /home.php HTTP/1.1,302
10.128.2.1,2018-01-18 12:48:44,GET /archive.php HTTP/1.1,200
10.130.2.1,2017-11-26 19:53:05,GET /contestsubmission.php?id=13&page=3 HTTP/1.1,400
10.130.2.1,2017-11-30 17:02:16,GET /description.php?id=76 HTTP/1.1,403
10.130.2.1,2017-11-30 15:42:43,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.131.0.1,2017-11-30 17:01:11,GET /css/font-awesome.min.css HTTP/1.1,304
10.131.2.1,2017-11-25 16:58:15,GET /fonts/fontawesome-webfont.woff2 HTTP/1.0,400
10.128.2.1,2018-01-29 20:23:29,GET /login.php HTTP/1.1,200
10.129.2.1,2017-11-23 13:55:42,GET /profile.php?user=emrul_mu HTTP/1.1,200
10.130.2.1,2017-11-14 14:04:25,GET / HTTP/1.1,302
10.131.2.1,2017-11-30 15:10:23,GET /logout.php HTTP/1.1,403
10.128.2.1,2017-12-12 09:25:27,GET /contestproblem.php?name=RUET%20OJ%20Server%20Testing%20Contest HTTP/1.1,200
10.130.2.1,2017-11-30 17:20:11,GET /standings.php?id=16 HTTP/1.1,200
10.129.2.1,2017-12-13 14:21:27,GET / HTTP/1.0,400
10.130.2.1,2017-11-11 19:40:44,GET /showcode.php?id=284&nm=xyz_xyz HTTP/1.1,200
10.131.2.1,2017-12-02 19:32:10,GET /fonts/fontawesome-webfont.woff2 HTTP/1.0,400
10.130.2.1,2017-12-01 13:18:42,GET /profile.php?user=Shawon HTTP/1.1,400
10.128.2.1,2017-11-12 12:59:06,GET /profile.php?user=ksrsingh HTTP/1.1,403
10.129.2.1,2017-12-01 13:36:48,GET /home.php HTTP/1.1,200
10.131.2.1,2017-11-30 15:56:15,GET /profile.php?user=ksrsingh HTTP/1.1,401
10.131.2.1,2017-11-17 15:13:03,GET /profile.php?user=PKP HTTP/1.1,403
10.128.2.1,2017-11-16 16:17:31,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,304
10.128.2.1,2017-11-30 15:21:12,POST /pcompile.php HTTP/1.1,200
10.129.2.1,2017-11-30 16:59:49,GET /js/vendor/jquery-1.12.0.min.js HTTP/1.1,304
10.131.0.1,2018-01-29 20:22:43,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,200
10.130.2.1,2017-11-13 17:58:46,GET /home.php HTTP/1.1,302
10.131.0.1,2018-01-16 06:13:51,GET /showcode.php?id=283&nm=ashadullah HTTP/1.1,400
10.128.2.1,2018-01-29 20:23:50,GET /login.php HTTP/1.1,200
10.131.2.1,2017-11-30 13:38:44,GET /bootstrap-3.3.7/js/bootstrap.min.js HTTP/1.1,200
10.131.2.1,2017-11-26 19:31:08,GET /profile.php?user=wbreturn HTTP/1.1,403
10.131.0.1,2017-12-16 16:21:21,GET /description.php?id=62 HTTP/1.1,400
10.129.2.1,2017-11-29 17:55:01,GET /css/style.css HTTP/1.1,200
10.128.2.1,2017-11-17 16:05:21,GET /js/vendor/modernizr-2.8.3.min.js HTTP/1.1,304
10.129.2.1,2017-11-26 22:13:05,POST /login.php HTTP/1.1,403
10.128.2.1,2017-11-10 07:46:54,GET / HTTP/1.1,302
10.131.0.1,2017-11-23 20:25:39,GET /showcode.php?id=288&nm=Riyal_RUET HTTP/1.1,400
